sn,order_line_key,order_no,zip_code,locId,CAR_NAME,TNT,TRACKNO,CPD,SHIPTIME,MCD,DELIVER_TIME
21,20210109162604147599411Y,ABC01-806404740056CC,94568,ABC_82335000473013,DL,5,LM8W2R150310642920,05/02/21,2021-01-11 20:19:21+00:00,DELIVERED,2021-01-15 15:27:54+00:00
22,20210103234129506112531Y,ABC01-806409321195CC,91362,ABC_82335000473013,DL,4,LM8W2R151310612452,06/01/21,2021-01-04 17:41:50+00:00,DELIVERED,2021-01-05 20:11:43+00:00
23,20210104213229182178261Y,ABC01-806409935919CC,11729,ABC_82335000473013,DL,4,LMR312070317326502,06/01/21,2021-01-05 22:56:04+00:00,DELIVERED,2021-01-06 16:09:43+00:00
24,20210103104255556770651Y,ABC01-806408924861CC,95678,ABC_824390009370862,DL,5,LMR32Y88YN32449647,06/01/21,2021-01-04 22:01:19+00:00,DELIVERED,2021-01-06 08:37:46+00:00
25,20210102185024888310791Y,ABC01-806408580663CC,91342,ABC_82335000473013,DL,4,LM08W85VYW51885405,06/01/21,2021-01-04 18:37:53+00:00,DELIVERED,2021-01-06 14:39:00+00:00
26,20210103143126865848831Y,ABC01-806409152738CC,11768,ABC_82335000473013,DL,4,LMF3E750YW04222815,06/01/21,2021-01-04 17:02:19+00:00,DELIVERED,2021-01-05 13:15:37+00:00
27,20210104015140571875711Y,ABC01-806409444119CC,90012,ABC_82335000473013,DL,4,LMR34E530310288667,06/01/21,2021-01-05 18:26:42+00:00,DELIVERED,2021-01-06 11:24:56+00:00
28,20210101135459060912841Y,1121001878631CC,94549,ABC_82335000473013,DL,5,LM8W2R151310601553,06/01/21,2021-01-04 17:15:01+00:00,DELIVERED,2021-01-05 15:10:52+00:00
29,20210102113143158302941Y,ABC01-806408367806CC,11758,ABC_82335000473013,DL,4,LM8W2R150210611303,07/01/21,2021-01-04 13:24:40+00:00,DELIVERED,2021-01-06 14:28:46+00:00
30,20210102155519063686951Y,1121002925580CC,91331,ABC_82335000473013,DL,4,LM8W2R150210601181,07/01/21,2021-01-04 14:11:53+00:00,DELIVERED,2021-01-06 18:26:21+00:00
31,20210101151929974017781Y,ABC01-806407656873CC,92009,ABC_82335000473013,DL,4,LM8W2R150210606006,07/01/21,2021-01-04 14:34:42+00:00,DELIVERED,2021-01-06 15:33:19+00:00
32,20201231190339919402901Y,ABC01-806407050887CC,92011,ABC_82335000473013,DL,4,LM8W2R150210609147,07/01/21,2021-01-04 11:47:11+00:00,DELIVERED,2021-01-06 13:38:38+00:00
33,20201231171438060423871Y,1121366870652CC,76009,ABC_82335000473013,DL,2,LM8W2R150310605603,07/01/21,2021-01-04 13:44:11+00:00,DELIVERED,2021-01-05 13:24:35+00:00
34,20210101012814253222551Y,ABC01-806407212021CC,11703,ABC_82335000473013,DL,4,LMW490240325464878,07/01/21,2021-01-04 19:58:36+00:00,DELIVERED,2021-01-07 13:21:55+00:00
35,20210101210931529490941Y,ABC01-806407917585CC,89179,ABC_82335000473013,DL,4,LM8W2R150210608684,07/01/21,2021-01-04 11:45:43+00:00,DELIVERED,2021-01-06 13:17:32+00:00
36,20210104213229182178261Y,ABC01-806409935919CC,11729,ABC_82335000473013,DL,4,LMF706V41374810700,07/01/21,2021-01-06 18:34:20+00:00,DELIVERED,2021-01-07 16:25:05+00:00
37,20210104213229182178261Y,ABC01-806409935919CC,11729,ABC_82335000473013,DL,4,LMF4Y324YW73295476,07/01/21,2021-01-05 18:46:23+00:00,DELIVERED,2021-01-06 16:09:43+00:00
38,20210102143241063007511Y,1121002913799CC,95632,ABC_82335000473013,DL,5,LM8W2R150210608960,07/01/21,2021-01-04 13:46:07+00:00,DELIVERED,2021-01-06 11:59:33+00:00
39,20210104143006410035631Y,ABC01-806409732422CC,91709,ABC_824390009370862,DL,4,LM1353YEYN02510472,07/01/21,2021-01-05 22:30:34+00:00,DELIVERED,2021-01-07 13:31:00+00:00
40,20210101104418519080091Y,ABC01-806407498311CC,32162,ABC_82335000473013,DL,3,LM8W2R150210607489,07/01/21,2021-01-04 13:54:57+00:00,DELIVERED,2021-01-06 10:09:45+00:00
41,20210105113607859376981Y,ABC01-806410093297CC,76063,ABC_82335000473013,DL,2,LMW490241346451207,07/01/21,2021-01-06 20:51:07+00:00,DELIVERED,2021-01-07 18:05:25+00:00
42,20210104015115571749611Y,ABC01-806409423119CC,76018,ABC_82335000473013,DL,2,LMWF2547YN01696273,07/01/21,2021-01-04 17:28:32+00:00,DELIVERED,2021-01-07 13:17:00+00:00
43,20210104105353930327331Y,ABC01-806409608512CC,91730,ABC_824390009370862,DL,4,LMR1522X0385156212,07/01/21,2021-01-04 19:46:38+00:00,DELIVERED,2021-01-07 11:41:20+00:00
44,20210102081840832515771Y,ABC01-806408155680CC,92604,ABC_82335000473013,DL,4,LM8W2R150210607434,07/01/21,2021-01-04 12:14:30+00:00,DELIVERED,2021-01-06 17:54:24+00:00
45,20210102081840832515771Y,ABC01-806408155680CC,92604,ABC_82335000473013,DL,4,LMW493040258975511,07/01/21,2021-01-05 15:08:51+00:00,DELIVERED,2021-01-07 14:17:12+00:00
46,20210101160937161054471Y,ABC01-806407736485CC,2081,ABC_82335000473013,DL,4,LM8W2R150210604071,07/01/21,2021-01-04 17:11:50+00:00,DELIVERED,2021-01-06 11:59:17+00:00
47,20210102023521699565141Y,ABC01-806408172410CC,10029,ABC_82335000473013,DL,4,LM144A110317970597,07/01/21,2021-01-04 17:33:48+00:00,DELIVERED,2021-01-07 11:22:39+00:00
48,20210104015140571875711Y,ABC01-806409444119CC,90012,ABC_82335000473013,DL,4,LM8W2R150210612811,07/01/21,2021-01-04 19:32:27+00:00,DELIVERED,2021-01-06 11:23:09+00:00
49,20210102114659181655941Y,ABC01-806408353195CC,20832,ABC_82335000473013,DL,3,LM8W2R150210606622,07/01/21,2021-01-04 14:35:55+00:00,DELIVERED,2021-01-06 17:28:26+00:00
50,20210103192111323287571Y,ABC01-806408693562CC,20877,ABC_82335000473013,DL,3,LMWF2547YW81884439,07/01/21,2021-01-04 17:09:30+00:00,DELIVERED,2021-01-06 17:26:56+00:00
51,20210103192111323287571Y,ABC01-806408693562CC,20877,ABC_82335000473013,DL,3,LM8W2R150210614024,07/01/21,2021-01-04 20:02:06+00:00,DELIVERED,2021-01-06 17:26:56+00:00
52,20210106062133278099391Y,ABC01-806410458368CC,76060,ABC_82335000473013,DL,2,LMF101941378613770,07/01/21,2021-01-06 17:16:12+00:00,DELIVERED,2021-01-07 12:38:51+00:00
53,20210102211105129141931Y,ABC01-806408705968CC,10011,ABC_82335000473013,DL,4,LM8W2R150210603965,07/01/21,2021-01-04 12:12:40+00:00,DELIVERED,2021-01-06 12:44:05+00:00
54,20210103165109154507731Y,ABC01-806409245814CC,11732,ABC_82335000473013,DL,4,LM8W2R150210615256,07/01/21,2021-01-04 20:07:03+00:00,DELIVERED,2021-01-06 18:25:15+00:00
55,20210102153437063524111Y,1121002922735CC,91342,ABC_82335000473013,DL,4,LM8W2R150210603009,07/01/21,2021-01-04 13:46:55+00:00,DELIVERED,2021-01-06 11:32:17+00:00
56,20210104092955818685521Y,ABC01-806409203446CC,76016,ABC_82335000473013,DL,2,LM8W2R150310615370,07/01/21,2021-01-04 20:03:19+00:00,DELIVERED,2021-01-05 11:40:17+00:00
57,20201231192058937076371Y,ABC01-806407110324CC,76051,ABC_82335000473013,DL,2,LMW490240301561469,07/01/21,2021-01-04 19:15:35+00:00,DELIVERED,2021-01-08 16:57:57+00:00
58,20201231192058937076371Y,ABC01-806407110324CC,76051,ABC_82335000473013,DL,2,LM8W2R150310605694,07/01/21,2021-01-04 14:28:28+00:00,DELIVERED,2021-01-05 15:56:49+00:00
59,20210104105752936052861Y,ABC01-806409594643CC,76078,ABC_82335000473013,DL,2,LM8W2R150310615067,07/01/21,2021-01-04 20:03:51+00:00,DELIVERED,2021-01-05 12:24:18+00:00
60,20210103200341359186501Y,ABC01-806409264079CC,91352,ABC_82335000473013,DL,4,LM86R8360250287622,07/01/21,2021-01-04 20:31:53+00:00,DELIVERED,2021-01-06 14:36:51+00:00
61,20210101084434408391041Y,ABC01-806407409725CC,11742,ABC_82335000473013,DL,4,LM8W2R150210603858,07/01/21,2021-01-04 11:57:59+00:00,DELIVERED,2021-01-06 11:34:23+00:00
62,20210102051024746857451Y,ABC01-806408125071CC,91321,ABC_82335000473013,DL,4,LM8W2R150210604142,07/01/21,2021-01-04 11:58:51+00:00,DELIVERED,2021-01-06 21:22:00+00:00
63,20201231190339919402841Y,ABC01-806407050887CC,92011,ABC_82335000473013,DL,4,LM8W2R150210609147,07/01/21,2021-01-04 11:47:11+00:00,DELIVERED,2021-01-06 13:38:38+00:00
64,20210101215652562075511Y,ABC01-806408012039CC,30094,ABC_82335000473013,DL,3,LM8W2R150310605014,08/01/21,2021-01-04 13:06:42+00:00,DELIVERED,2021-01-07 13:19:18+00:00
65,20210103192833327332661Y,ABC01-806406347876CC,30022,ABC_82335000473013,DL,3,LM8W2R150310616137,08/01/21,2021-01-04 20:09:12+00:00,DELIVERED,2021-01-07 18:38:58+00:00
66,20210102220415170505011Y,ABC01-806408680571CC,76063,ABC_82335000473013,DL,2,LM8W2R150310601241,08/01/21,2021-01-04 13:16:42+00:00,DELIVERED,2021-01-05 17:18:38+00:00
67,20210103201850373763081Y,ABC01-806409262490CC,92104,ABC_824390009370862,DL,4,LMA5Y7440334722953,08/01/21,2021-01-04 21:39:52+00:00,DELIVERED,2021-01-05 12:19:42+00:00
68,20210102095710923516961Y,ABC01-806408292864CC,30084,ABC_82335000473013,DL,3,LM8W2R150310603123,08/01/21,2021-01-04 13:18:53+00:00,DELIVERED,2021-01-07 12:49:08+00:00
69,20210106000815100255131Y,ABC01-806410401793CC,92118,ABC_82335000473013,DL,4,LM2R7V77YN43553833,08/01/21,2021-01-06 23:13:59+00:00,DELIVERED,2021-01-08 15:27:00+00:00
70,20210104215725203498431Y,ABC01-806409774727CC,30084,ABC_82335000473013,DL,3,LM8W2R150210619869,08/01/21,2021-01-05 19:06:22+00:00,DELIVERED,2021-01-07 10:58:21+00:00
71,20210103112211065185971Y,1121003951390CC,22192,ABC_82335000473013,DL,3,LM8W2R150310608637,08/01/21,2021-01-04 12:09:12+00:00,DELIVERED,2021-01-07 18:46:10+00:00
72,20210106113026593938351Y,ABC01-806410462053CC,91745,ABC_82335000473013,DL,4,LMF10463YW31342321,08/01/21,2021-01-06 18:21:57+00:00,DELIVERED,2021-01-08 14:28:00+00:00
73,20210102200040961879871Y,ABC01-806408661204CC,76053,ABC_82335000473013,DL,2,LM8W2R150310607638,08/01/21,2021-01-04 11:44:56+00:00,DELIVERED,2021-01-05 13:14:48+00:00
74,20210102163551686999011Y,ABC01-806408543558CC,30076,ABC_82335000473013,DL,3,LM8W2R150310611990,08/01/21,2021-01-04 13:04:33+00:00,DELIVERED,2021-01-08 14:10:58+00:00
75,20210105092342625093321Y,ABC01-806410069626CC,22180,ABC_82335000473013,DL,3,LM8W2R150210620080,08/01/21,2021-01-05 20:05:48+00:00,DELIVERED,2021-01-07 15:50:35+00:00
76,20210107110847198304851Y,ABC01-806410984965CC,32163,ABC_82335000473013,DL,3,LMF3A7540323124014,08/01/21,2021-01-07 18:50:01+00:00,DELIVERED,2021-01-08 12:11:11+00:00
77,20210102111745133432921Y,ABC01-806408357311CC,20814,ABC_82335000473013,DL,3,LM8W2R150310603936,08/01/21,2021-01-04 12:17:04+00:00,DELIVERED,2021-01-07 14:32:21+00:00
78,20210103213101430467631Y,ABC01-806409371577CC,30088,ABC_82335000473013,DL,3,LMF945Y2YN91540243,08/01/21,2021-01-05 21:50:39+00:00,DELIVERED,2021-01-09 12:36:00+00:00
79,20210102103128968263411Y,ABC01-806408338509CC,20886,ABC_82335000473013,DL,3,LM8W2R150310606531,08/01/21,2021-01-04 14:32:21+00:00,DELIVERED,2021-01-07 16:22:02+00:00
80,20210105034149421067371Y,ABC01-806409924493CC,94595,ABC_82335000473013,DL,5,LM8W2R150210617870,08/01/21,2021-01-05 19:04:43+00:00,DELIVERED,2021-01-07 11:00:57+00:00
81,20210105222950931643301Y,ABC01-806410398258CC,92869,ABC_82335000473013,DL,4,LM86V803YN64591725,08/01/21,2021-01-06 20:03:47+00:00,DELIVERED,2021-01-08 18:01:00+00:00
82,20210102161557654323631Y,ABC01-806408549144CC,11758,ABC_82335000473013,DL,4,LMRW90690324769640,08/01/21,2021-01-04 22:12:36+00:00,DELIVERED,2021-01-08 14:55:38+00:00
83,20210107010553709499491Y,ABC01-806410781188CC,94520,ABC_824390009370862,DL,5,LMF106730387053783,08/01/21,2021-01-07 18:51:18+00:00,DELIVERED,2021-01-08 15:05:10+00:00
84,20210101205503519666481Y,ABC01-806407949012CC,95610,ABC_824390009370862,DL,5,LM8X1R120200521924,08/01/21,2021-01-07 19:36:07+00:00,DELIVERED,2021-01-11 13:00:59+00:00
85,20210101201739489510111Y,ABC01-806407946014CC,30024,ABC_82335000473013,DL,3,LMRW0355YW11609377,08/01/21,2021-01-04 21:36:42+00:00,DELIVERED,2021-01-06 13:53:32+00:00
86,20210103135128808109801Y,ABC01-806409116678CC,10032,ABC_82335000473013,DL,4,LM2V0789YN35360295,08/01/21,2021-01-07 00:09:57+00:00,DELIVERED,2021-01-08 13:38:00+00:00
87,20210101151328965112881Y,ABC01-806407727804CC,32163,ABC_824390009370862,DL,2,LM8X1R120300524321,08/01/21,2021-01-07 19:35:33+00:00,DELIVERED,2021-01-09 14:06:30+00:00
88,20210103010753287029331Y,ABC01-806408801985CC,10075,ABC_82335000473013,DL,4,LM2V0789YW94986153,08/01/21,2021-01-06 23:57:29+00:00,FAILED_DELIVERY_ATTEMPT,2021-01-07 16:17:54+00:00
89,20210102164715705028201Y,ABC01-806408515568CC,90019,ABC_82335000473013,DL,4,LM8W2R150210603330,11/01/21,2021-01-04 12:25:11+00:00,DELIVERED,2021-01-06 18:20:16+00:00
90,20210101122623668428521Y,ABC01-806407537688CC,11725,ABC_82335000473013,DL,4,LM8W2R150310606737,11/01/21,2021-01-04 14:20:07+00:00,DELIVERED,2021-01-07 13:28:12+00:00
91,20210104194046958854711Y,ABC01-806409913521CC,20878,ABC_82335000473013,DL,3,LM8W2R150310617645,11/01/21,2021-01-05 19:57:34+00:00,DELIVERED,2021-01-08 13:23:02+00:00
92,20210104204458132412391Y,ABC01-806409889599CC,30030,ABC_82335000473013,DL,3,LM8W2R150310618877,11/01/21,2021-01-05 19:46:31+00:00,DELIVERED,2021-01-08 16:24:53+00:00
93,20210103113316617919711Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120200526223,11/01/21,2021-01-07 21:33:38+00:00,DELIVERED,2021-01-11 14:51:19+00:00
94,20210104143006410035631Y,ABC01-806409732422CC,91709,ABC_824390009370862,DL,4,LM8X1R120200528203,11/01/21,2021-01-08 19:16:18+00:00,DELIVERED,2021-01-12 12:26:44+00:00
95,20210103221551458108501Y,ABC01-806409372870CC,10002,ABC_824390009370862,DL,3,LM8X1R120300521299,11/01/21,2021-01-06 19:33:11+00:00,DELIVERED,2021-01-08 14:28:29+00:00
96,20210104161458609966661Y,ABC01-806409799678CC,32128,ABC_824390009370862,DL,2,LM8X1R120300528943,11/01/21,2021-01-08 19:16:24+00:00,DELIVERED,2021-01-12 17:28:38+00:00
97,20210104173542764331771Y,ABC01-806409825645CC,76040,ABC_824390009370862,DL,2,LM8X1R120300537693,11/01/21,2021-01-08 19:13:36+00:00,DELIVERED,2021-01-12 17:55:27+00:00
98,20210103113316617919491Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120200526223,11/01/21,2021-01-07 21:33:38+00:00,DELIVERED,2021-01-11 14:51:19+00:00
99,20210104221519220533711Y,ABC01-806409525495CC,92802,ABC_82335000473013,DL,4,LMF5629V0357862896,11/01/21,2021-01-05 20:50:47+00:00,DELIVERED,2021-01-11 13:26:44+00:00
100,20201231184935903478391Y,ABC01-806407057568CC,92867,ABC_82335000473013,DL,4,LMR138840378531843,11/01/21,2021-01-04 18:01:58+00:00,DELIVERED,2021-01-11 14:47:35+00:00
101,20210103155411978569851Y,ABC01-806409215451CC,30045,ABC_824390009370862,DL,2,LM8X1R120300526749,11/01/21,2021-01-07 21:38:06+00:00,DELIVERED,2021-01-08 15:27:01+00:00
102,20210103113316617919681Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120200526223,11/01/21,2021-01-07 21:33:38+00:00,DELIVERED,2021-01-11 14:51:19+00:00
103,20210105115042885668111Y,ABC01-806410177059CC,30041,ABC_82335000473013,DL,3,LM8W2R150310624315,11/01/21,2021-01-06 20:03:15+00:00,DELIVERED,2021-01-09 12:38:32+00:00
104,20210104164135662542561Y,ABC01-806409819920CC,76001,ABC_824390009370862,DL,2,LM8X1R120300527677,11/01/21,2021-01-08 19:16:04+00:00,DELIVERED,2021-01-12 12:16:45+00:00
105,20210103001337256500031Y,ABC01-806408747237CC,91762,ABC_824390009370862,DL,4,LM8X1R120200525055,11/01/21,2021-01-07 21:30:46+00:00,DELIVERED,2021-01-11 16:35:34+00:00
106,20201225103553502493211Y,ABC01-806403410666CC,32162,ABC_824390009370862,DL,2,LM8X1R120300538674,11/01/21,2021-01-08 19:12:28+00:00,DELIVERED,2021-01-12 15:40:04+00:00
107,20210103201058367596711Y,ABC01-806409355806CC,20817,ABC_82335000473013,DL,3,LM8W2R150210613203,11/01/21,2021-01-04 19:33:15+00:00,DELIVERED,2021-01-06 12:37:12+00:00
108,20210105125256993727741Y,ABC01-806410204023CC,92804,ABC_82335000473013,DL,4,LM8W2R150210620973,11/01/21,2021-01-05 19:51:55+00:00,DELIVERED,2021-01-07 16:05:35+00:00
109,20210104115229128933791Y,ABC01-806409702164CC,32176,ABC_824390009370862,DL,2,LM8X1R120200529855,11/01/21,2021-01-08 19:14:43+00:00,DELIVERED,2021-01-12 15:22:04+00:00
110,20210103113316617919741Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120200526223,11/01/21,2021-01-07 21:33:38+00:00,DELIVERED,2021-01-11 14:51:19+00:00
111,20210103011457291267301Y,ABC01-806408732585CC,95054,ABC_82335000473013,DL,5,LM8W2R150310608084,12/01/21,2021-01-04 13:52:59+00:00,DELIVERED,2021-01-06 09:45:43+00:00
112,20210102173141780696601Y,ABC01-806408563296CC,30083,ABC_82335000473013,DL,3,LM8W2R150310604275,12/01/21,2021-01-04 12:31:02+00:00,DELIVERED,2021-01-07 13:33:54+00:00
113,20210103204010390723361Y,ABC01-806409287759CC,95624,ABC_82335000473013,DL,5,LM8W2R150310615496,12/01/21,2021-01-04 20:00:50+00:00,DELIVERED,2021-01-08 13:03:42+00:00
114,20210103204010390723451Y,ABC01-806409287759CC,95624,ABC_82335000473013,DL,5,LM8W2R150310615496,12/01/21,2021-01-04 20:00:50+00:00,DELIVERED,2021-01-08 13:03:42+00:00
115,20201231194508956030801Y,ABC01-806407146406CC,10009,ABC_82335000473013,DL,4,LM8W2R150310605658,12/01/21,2021-01-04 12:33:21+00:00,DELIVERED,2021-01-07 16:17:33+00:00
116,20210101000922216870551Y,ABC01-806403820121CC,92660,ABC_82335000473013,DL,4,LM8W2R150310605863,12/01/21,2021-01-04 13:41:57+00:00,DELIVERED,2021-01-08 11:04:10+00:00
117,20210102185743896064301Y,ABC01-806408591355CC,91723,ABC_82335000473013,DL,4,LM8W2R150310610722,12/01/21,2021-01-04 13:33:54+00:00,DELIVERED,2021-01-08 14:11:26+00:00
118,20210104093917828693771Y,ABC01-806409594705CC,10010,ABC_82335000473013,DL,4,LM8W2R150310614700,12/01/21,2021-01-04 19:59:08+00:00,DELIVERED,2021-01-07 13:05:35+00:00
119,20201231214441143037321Y,ABC01-806407131882CC,95076,ABC_82335000473013,DL,5,LM8W2R150310603847,12/01/21,2021-01-04 11:57:50+00:00,DELIVERED,2021-01-06 15:01:42+00:00
120,20210101165520238425661Y,ABC01-806407783963CC,18403,ABC_82335000473013,DL,4,LM8W2R150310603687,12/01/21,2021-01-04 12:27:36+00:00,DELIVERED,2021-01-08 11:25:46+00:00
121,20210102000505635415871Y,ABC01-806408035228CC,95687,ABC_82335000473013,DL,5,LM8W2R150310610133,12/01/21,2021-01-04 12:06:41+00:00,DELIVERED,2021-01-06 14:02:13+00:00
122,20210103020102312566191Y,ABC01-806408741178CC,95003,ABC_82335000473013,DL,5,LM8W2R150310613836,12/01/21,2021-01-04 20:10:37+00:00,DELIVERED,2021-01-08 15:39:56+00:00
123,20210103233926503208221Y,ABC01-806409363758CC,90019,ABC_82335000473013,DL,4,LM8W2R150310615629,12/01/21,2021-01-04 19:57:27+00:00,DELIVERED,2021-01-08 15:14:53+00:00
124,20210102185024888310791Y,ABC01-806408580663CC,91342,ABC_82335000473013,DL,4,LM8W2R150310606086,12/01/21,2021-01-04 11:59:52+00:00,DELIVERED,2021-01-08 20:14:22+00:00
125,20210103170022164548181Y,ABC01-806409241029CC,11746,ABC_82335000473013,DL,4,LM8W2R150310615058,12/01/21,2021-01-04 20:03:00+00:00,DELIVERED,2021-01-07 15:58:13+00:00
126,20210102150135525815311Y,ABC01-806408392597CC,92660,ABC_82335000473013,DL,4,LM8W2R150310611114,12/01/21,2021-01-04 13:30:59+00:00,DELIVERED,2021-01-08 18:10:06+00:00
127,20210105045935445597531Y,ABC01-806410031301CC,94577,ABC_82335000473013,DL,5,LMR137910322919545,12/01/21,2021-01-06 20:27:53+00:00,DELIVERED,2021-01-12 14:14:34+00:00
128,20210103092328483660401Y,ABC01-806408991420CC,1845,ABC_82335000473013,DL,4,LM8W2R150310611687,12/01/21,2021-01-04 12:33:28+00:00,DELIVERED,2021-01-08 14:08:10+00:00
129,20210102011806668537381Y,ABC01-806408092170CC,10017,ABC_82335000473013,DL,4,LM8W2R150310602893,12/01/21,2021-01-04 12:28:08+00:00,DELIVERED,2021-01-07 16:14:00+00:00
130,20210102175502815508331Y,ABC01-806408595003CC,95006,ABC_82335000473013,DL,5,LM8W2R150310611463,12/01/21,2021-01-04 11:49:47+00:00,DELIVERED,2021-01-06 12:08:55+00:00
131,20210102161517653449321Y,ABC01-806408484053CC,95660,ABC_82335000473013,DL,5,LM8W2R150310609332,12/01/21,2021-01-04 13:51:09+00:00,DELIVERED,2021-01-06 15:35:40+00:00
132,20210102073201803399481Y,ABC01-806408127609CC,92879,ABC_82335000473013,DL,4,LM8W2R150310604775,12/01/21,2021-01-04 12:14:39+00:00,DELIVERED,2021-01-08 16:16:48+00:00
133,20210104133353307180151Y,ABC01-806409761926CC,30096,ABC_824390009370862,DL,2,LM8X1R120300537844,12/01/21,2021-01-08 19:17:52+00:00,DELIVERED,2021-01-09 15:10:46+00:00
134,20210103093344491814371Y,ABC01-806408886665CC,92081,ABC_82335000473013,DL,4,LM8W2R150310609467,12/01/21,2021-01-04 13:05:36+00:00,DELIVERED,2021-01-08 09:48:34+00:00
135,20210105204608839903861Y,ABC01-806410374880CC,30092,ABC_824390009370862,DL,2,LM8X1R120300535104,12/01/21,2021-01-08 19:13:35+00:00,DELIVERED,2021-01-09 11:29:31+00:00
136,20210107110847198304851Y,ABC01-806410984965CC,32163,ABC_82335000473013,DL,3,LM8W2R150310629856,12/01/21,2021-01-07 19:19:22+00:00,DELIVERED,2021-01-12 16:36:15+00:00
